Restrição 1: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 52: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 53: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 54: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 55: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 56: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 57: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 58: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 59: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 60: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 61: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 62: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 63: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 64: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 65: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 66: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 67: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 68: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 69: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 70: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 71: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 72: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 73: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 74: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 75: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 76: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 77: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 78: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
